Source,Sink,Jaccard,Resource_alloc,Adamic_adar,Preferential_attachment,Common_Neighbours,Shortest_Path_Length,Page_source,Page_sink,Hub_source,Hub_sink,Authority_Source,Authority_Sink,Source_Out,Source_In,Sink_out,Sink_in
2184483,1300190,0.0,0,0,18,0,2,2.8785923647081138e-05,5.478708620793792e-05,2.858199635833994e-55,0.0,0.0,1.163234634227044e-06,0.00020096463022508038,0.0,0.0,0.00010048231511254019
3151356,1452193,0.0,0,0,36,0,2,2.8785923647081138e-05,3.095013911800846e-05,2.0079150784318972e-10,0.0,0.0,0.0013424671945509068,0.00020096463022508038,0.0,0.0,0.00020096463022508038
1579396,193159,0.0,0,0,12,0,2,2.8785923647081138e-05,3.705701632601202e-05,3.7227024506996985e-49,0.0,0.0,2.4994458383207347e-06,0.00020096463022508038,0.0,0.0,6.69882100750268e-05
1406432,2481036,0.0,0,0,42,0,2,2.8785923647081138e-05,3.682904137214282e-05,2.858199635833994e-55,1.873883464641503e-10,0.0,1.0670616913707418e-11,0.00020096463022508038,0.0,0.00020096463022508038,6.69882100750268e-05
2389638,593017,0.0,0,0,48,0,2,2.8785923647081138e-05,3.3192477357606355e-05,1.1063978609547884e-06,1.7219987258555526e-07,0.0,9.669077990332478e-53,0.00020096463022508038,0.0,0.00023445873526259378,3.34941050375134e-05
228206,212805,0.0,0,0,120,0,2,3.596800250425118e-05,3.6252882315560414e-05,3.798052597259188e-52,4.2947429733443075e-06,3.049946952492267e-08,9.885266330389426e-08,0.0002679528403001072,6.69882100750268e-05,0.00033494105037513397,6.69882100750268e-05
1237964,879115,0.0,0,0,36,0,2,2.8785923647081138e-05,3.1453410539930846e-05,1.7025859205181834e-12,0.0,0.0,0.0009629036384119055,0.00020096463022508038,0.0,0.0,0.00020096463022508038
3318124,1840575,0.0,0,0,36,0,2,2.8785923647081138e-05,4.4633714378641736e-05,8.197821755595695e-09,0.0,0.0,0.0004538165714012677,0.00020096463022508038,0.0,0.0,0.00020096463022508038
4522929,1552625,0.0,0,0,36,0,2,2.8785923647081138e-05,3.052328316186822e-05,1.701687824189366e-07,0.0,0.0,0.0016040977693839514,0.00020096463022508038,0.0,0.0,0.00020096463022508038
3406737,3781412,0.0,0,0,12,0,2,2.8785923647081138e-05,4.429422242007656e-05,5.250406958676534e-09,0.0,0.0,9.370232351011172e-07,0.00020096463022508038,0.0,0.0,6.69882100750268e-05
1567983,3008412,0.0,0,0,36,0,2,2.8785923647081138e-05,3.0302946155595748e-05,1.836196733202703e-49,0.0,0.0,0.0019503794519553218,0.00020096463022508038,0.0,0.0,0.00020096463022508038
4370932,2906415,0.0,0,0,12,0,2,2.8785923647081138e-05,6.497195411740379e-05,2.858199635833994e-55,0.0,0.0,3.196099510480801e-62,0.00020096463022508038,0.0,0.0,6.69882100750268e-05
286240,474307,0.0,0,0,42,0,2,2.8785923647081138e-05,0.0001316491027626684,3.447908272665629e-05,0.0,0.0,9.672415101550829e-07,0.00023445873526259378,0.0,0.0,0.00020096463022508038
4796773,3115614,0.0,0,0,30,0,2,2.8785923647081138e-05,4.016286086435633e-05,2.9456719419368955e-07,0.0,0.0,4.3114837019358285e-05,0.00020096463022508038,0.0,0.0,0.00016747052518756699
2207765,4354226,0.0,0,0,42,0,2,2.8785923647081138e-05,2.8785923647081138e-05,4.795178170705077e-07,2.858199635833994e-55,0.0,0.0,0.00023445873526259378,0.0,0.00020096463022508038,0.0
1283384,279636,0.0,0,0,36,0,2,2.8785923647081138e-05,3.1553826689759814e-05,2.858199635833994e-55,0.0,0.0,0.0018050881385955734,0.00020096463022508038,0.0,0.0,0.00020096463022508038
368544,2431466,0.0,0,0,42,0,2,2.8785923647081138e-05,2.8785923647081138e-05,1.7383636979030556e-21,2.6298966773399238e-06,0.0,0.0,0.00020096463022508038,0.0,0.00023445873526259378,0.0
3921857,4512147,0.0,0,0,9,0,2,2.8785923647081138e-05,6.684909636471215e-05,8.518098699551798e-63,0.0,0.0,2.2305663137403648e-07,0.00010048231511254019,0.0,0.0,0.00010048231511254019
49037,3175009,0.0,0,0,6,0,2,2.8785923647081138e-05,2.8958934610411703e-05,2.9793289783477362e-08,0.0,0.0,0.0006425453919582478,0.00020096463022508038,0.0,0.0,3.34941050375134e-05
61633,1064392,0.0,0,0,36,0,2,2.8785923647081138e-05,0.00014056303976861932,2.63726402032677e-13,0.0,0.0,2.213863103773073e-09,0.00020096463022508038,0.0,0.0,0.00020096463022508038
1459453,654182,0.0,0,0,36,0,2,2.8785923647081138e-05,3.5661856636795824e-05,2.858199635833994e-55,0.0,0.0,0.0007388503608833251,0.00020096463022508038,0.0,0.0,0.00020096463022508038
447597,2736867,0.0,0,0,24,0,2,2.8785923647081138e-05,9.392077849366192e-05,1.8078772805136444e-10,0.0,0.0,3.0933488067359004e-06,0.00020096463022508038,0.0,0.0,0.0001339764201500536
2121585,3413796,0.0,0,0,36,0,2,2.8785923647081138e-05,6.959289242712705e-05,2.858199635833994e-55,0.0,0.0,9.611916504509466e-05,0.00020096463022508038,0.0,0.0,0.00020096463022508038
933347,1131654,0.0,0,0,36,0,2,2.8785923647081138e-05,4.5441512519237385e-05,2.858199635833994e-55,0.0,0.0,2.485146067696487e-05,0.00020096463022508038,0.0,0.0,0.00020096463022508038
3733033,488937,0.0,0,0,12,0,2,2.8785923647081138e-05,3.47919516914501e-05,2.0028295999614423e-10,0.0,0.0,1.3426359144691677e-48,0.00020096463022508038,0.0,0.0,6.69882100750268e-05
3023014,2817859,0.0,0,0,36,0,2,2.8785923647081138e-05,0.00011824583230982327,2.858199635833994e-55,0.0,0.0,3.6994564804833534e-06,0.00020096463022508038,0.0,0.0,0.00020096463022508038
1404783,410037,0.0,0,0,6,0,2,2.8785923647081138e-05,3.280659369933921e-05,2.361858714641356e-07,0.0,0.0,1.4734069987105623e-06,0.00020096463022508038,0.0,0.0,3.34941050375134e-05
1886158,3656408,0.0,0,0,48,0,2,2.8785923647081138e-05,6.046195979210752e-05,2.858199635833994e-55,0.0,0.0,0.0006714630292147717,0.00020096463022508038,0.0,0.0,0.0002679528403001072
3316731,4579088,0.0,0,0,36,0,2,2.8785923647081138e-05,2.8785923647081138e-05,1.6961479296809636e-07,5.039009974539056e-15,0.0,0.0,0.00020096463022508038,0.0,0.00020096463022508038,0.0
2369031,1860112,0.0,0,0,66,0,2,3.097901640285827e-05,2.8785923647081138e-05,1.0053361516510327e-49,1.866624836535435e-10,2.0186801308829242e-06,0.0,0.00033494105037513397,3.34941050375134e-05,0.00020096463022508038,0.0
2850334,755258,0.0,0,0,36,0,2,2.8785923647081138e-05,3.867237821317776e-05,2.858199635833994e-55,0.0,0.0,8.426984678453175e-05,0.00020096463022508038,0.0,0.0,0.00020096463022508038
4606553,2879440,0.0,0,0,36,0,2,2.8785923647081138e-05,0.00011595274513597899,2.0611808374777564e-10,0.0,0.0,0.0006479388402126552,0.00020096463022508038,0.0,0.0,0.00020096463022508038
3013323,2064734,0.0,0,0,42,0,2,2.8785923647081138e-05,3.2190644626117834e-05,4.912218326383206e-07,0.0,0.0,0.0002818863446489321,0.00023445873526259378,0.0,0.0,0.00020096463022508038
