user_id,business_id,text,date,compliment_count
UPw5DWs_b-e2JRBS-t37Ag,VaKXUpmWTTWDKbpJ3aQdMw,"Great for watching games, ufc, and whatever else tickles yer fancy",2014-03-27 03:51:24,0
Ocha4kZBHb4JK0lOWvE0sg,OPiPeoJiv92rENwbq76orA,Happy Hour 2-4 daily with 1/2 price drinks and slushes AND after 8 half price shakes.  They actually have a peanut butter and bacon shake.,2013-05-25 06:00:56,0
jRyO2V1pA4CdVVqCIOPc1Q,5KheTjYPu1HcQzQFtm4_vw,Good chips and salsa. Loud at times. Good service. Bathrooms AWFUL. So that tanks my view on this place.,2011-12-26 01:46:17,0
FuTJWFYm4UKqewaosss1KA,TkoyGi8J7YFjA6SbaRzrxg,The setting and decoration here is amazing. Come check out the waterfall fountain in the middle!,2014-03-23 21:32:49,0
LUlKtaM3nXd-E4N4uOk_fQ,AkL6Ous6A1atZejfZXn1Bg,Molly is definately taking a picture with Santa lols,2012-10-06 00:19:27,0
iAd8XaHxv05iXyEiZ62Ibw,kj1p6NwUGROOoqNySf0I1Q,It's true! The drunken noodles are outrageous!,2011-12-31 18:02:42,0
w8p4JW6-ERsbg8aB5wjEAg,0hudPyuCBlKg79OwKBw-eQ,"Only worth a visit in the summer time, to take advantage of the huge sun soaked patio.",2012-10-11 23:06:21,0
CaFbX7topxdLpBJ_SNDfGQ,r49iBfbnfoK7yt4rdsL_7g,Hands down best AYCE in town! Love it!,2016-01-05 06:39:33,0
VLy6l8L72adD7iTBNqiPXw,YCRCFBr6myPS49on2aS2pQ,"Sat in the drive thru this afternoon for 30 minutes and then was handed the wrong coffee. Booooo, I'm seriously here every day and this was the first bad experience",2017-03-13 03:29:40,0
zrvk0-B91ahJRSB-UcAmIA,RTBIiq-fJUXRsrzbL4MCqw,"Okay so I had a groupon for a nearby service center, but their wait time was 3 hours! Once again, I find myself back at this Brake Masters. Idk why I bother with anywhere else; This place is great!",2013-02-08 20:55:15,0
8zXgNCkusOHMwh5Tj_8yCQ,qrSsS0pk7SL67MP5nN8tlg,More parking in the back of the restaurant,2013-12-22 05:10:12,0
NXXC2iU0o3tDVu6YNaW3Ww,oGASRzKGpuiP12ilQH_nKg,Best pretzels this side of the Rhein. Wash down with the Franziskaner Weissbier.,2010-03-04 15:41:16,0
DfvT4F5Eqx9Xr3Ei3GYWPg,63bHLJUomC22Xdm3IjgBtw,"Having the yellow curry, summer rolls and a coke. I would recommend the rolls but the curry was incredible!",2011-10-18 18:29:05,0
oIHhfloe5VQamDFDB2dr1Q,wZhB4U003eg2GQ-F7D2D4A,When you receive the bag of seafood tie it up and then mix it up that way all the flavours get into the seafood. As well for the owner play less Drake music please and thank you when I'm here. :D Congrats Guys,2016-08-12 22:18:07,0
NEN5RFpZp7DE6K1PK2KZzg,Cni2l-VKG_pdospJ6xliXQ,2nd stop for the pub-crawl! Yay!,2011-10-09 03:43:39,0
Fzz-0v1yHLaWuTV64b1miA,EZZjaiV8ik05NUepqdeP2A,Really delicious food and amazing service.,2018-02-14 21:35:49,0
CbmNBkKa9QKNxPiN_whFUw,xZfPdAYeimiruXuGR4nSUA,Dinner!!,2011-04-21 22:43:28,0
3KkT6SmPFLGvBS1pnDBr8g,D2nfOrnJ2OBlX_428sKyMg,Long lines at lunch!!,2011-12-30 17:10:16,0
kMcz3zQgNjZYV65qY9ztGA,C7JaaErXLB3B3486LfWg5w,"Go somewhere else to buy a car or mini van.
Rude, assuming sales staff; they are not going to lower the price on a vehicle,  The black sales guy is unprofessional and barely knows his job; he is rude and insults customers.",2013-02-17 06:22:49,0
JnHaPHkRO2_8V-DysmIBVw,j9I2YkFCOKyAEb_3FbFqUA,#poutinecrawl #yyc stop #1,2011-04-09 18:58:36,0
EZbvMdvCA2D9vF6VjILYXA,LrO_Xy6lfpbTgFoJcOjY4w,I love the gourmet veggie pizza!!,2015-05-21 01:13:24,0
pDAqvfflIM4AM23VRpqAaw,0PVxodALQu-soL5J8bjerQ,"If there's a more authentic breakfast place in Pittsburgh, I haven't found it. Ritter's is comfort food at its best!",2012-07-24 16:24:09,0
gGlFgp4nXNL5azpUtLK05w,cnfYugAYBFKgwDCTAVdViA,No,2015-05-29 04:25:09,0
HmILc-lgVKZS7mWNdYCSJw,1l7gJx3BVWBZ8Wx1vPCkeA,"New Dr Who! He talks with an accent, "" I'm the Doctor"" Oui Garcon!",2013-11-30 04:03:27,0
lesnCKZUYH554j-EDZBlTw,7sPNbCx7vGAaH7SbNPZ6oA,Late night burger cravings...,2012-08-02 06:25:54,0
alUuOskFSl1bODjnce2PpQ,PEb1Hm0kQ52cObjPAE6nFQ,Cash only! ATM on site,2014-09-06 23:29:08,0
hf27xTME3EiCp6NL6VtWZQ,i6G3zsEJIqpGktMWyffXjw,Holiday party,2013-12-19 21:29:53,0
TYCkjEHPSJSnFb6m6GDluw,XP0YZRa6Un25QaOH2g1ivA,oh damn. run do not walk to circle-h. pulled pork.,2011-12-30 22:00:46,0
r64WY53LOMRPowHDu2JIXw,p-8AMN9Q0qwym-3Pdle20Q,Good mix of cuisine,2017-03-10 19:32:16,0
r5ggPC6OccLk6dDl5yqsJQ,wyPkRQg3F5Yz2WqRFax7-g,"Burgers, salads, entrees of chili and even a ribeye steak.",2010-12-18 02:00:22,0
8aXyfFUFrypoE6PkUQBtmg,PtwW1Hwme8Y0wy54zNr8Xw,Wonderful food and great service! I will definitely be back with my family!,2014-06-07 17:04:01,0
O_GWZZfQx7qv-n-CN7hsIA,IzC1oXHT_TxYej_6YTfBnA,Over 100 group fitness class a week!!!,2012-10-16 18:25:20,0
lhPuskGXTRSjCwKOOOYeoA,e5Qw3r7mkwPLcdDzZzTeew,good stuff!,2011-07-12 20:41:17,0
ZXIOnRHvDUK-corzrUbqoA,7jKDOB9b_nijq0-djwyUTw,Tara did a great job. I will go back for another hair cut.,2016-05-22 00:11:14,0
2EuPAGalYnP7eSxPgFCNDg,NqCHqgF_FY0Aw9gD-Z3ABQ,Its open! Lobby closes at 10pm.The drive-thru open till 11pm,2014-06-03 04:23:22,1
ZK6aHHTiNlQWCCmv69OXnA,DkYS3arLOhA8si5uUEmHOw,You know I had to come back first thing after checking into the hotel!! :],2012-11-04 03:58:17,0
0FMte0z-repSVWSJ_BaQTg,6pSwIh7gbTEpfxDlKEiB5A,PTL time!,2012-05-25 00:05:01,0
uu-gMsKDyKU_9MUItbNkHA,I0f12eU-xFn6Kd_4H57jrQ,Soup was awesome!!,2016-07-30 08:08:12,0
CcJQAZfk6QkaBjPnKepLcg,vYn0gishV27DpfM_loZITQ,Southwestern egg rolls...yummy!,2013-12-11 17:45:51,0
ge72-Ti-WqR3w0YENY5pRQ,Lzv68iVkRHstVvW3aXNWkA,So far everything has been great,2015-09-28 00:55:47,0
gtwM4ijo65AN4DvXdgCu_w,19umlhmVB9O3njIBfRAe8g,Hey mom look at me! I'm Nancy friggen' Kerrigan!!,2014-08-24 03:56:50,1
t511fq0nFeppix5_MP-nxA,ZhLSAiRj9kANxf8m2SBfRA,"New Milk Tea Recipe! not as sweet, and nice tea flavor.",2017-03-21 22:30:13,0
