Id,Predictions
1,0.4868333333333333
2,0.28
3,0.3573571428571429
4,1.0
5,0.53
6,0.89
7,0.46
8,0.96
9,0.19
10,0.7344761904761903
11,0.93
12,0.94
13,0.1
14,0.84
15,0.21
16,0.0
17,0.04
18,0.8043333333333333
19,0.94
20,0.97
21,0.5568333333333334
22,0.0
23,0.47833333333333333
24,0.9
25,1.0
26,0.9
27,0.8165952380952382
28,0.89
29,0.36
30,0.45
31,0.0
32,0.7662817460317457
33,0.44
34,1.0
35,0.0425
36,0.91
37,0.7857936507936506
38,0.9
39,0.89
40,0.0
41,0.02
42,0.74
43,0.9816666666666666
44,0.0
45,1.0
46,0.87
47,0.81
48,0.6
49,0.93
50,0.83
51,0.97
52,0.85
53,0.15
54,0.91
55,0.9666666666666667
56,0.61
57,0.23
58,0.5486666666666666
59,0.96
60,0.06
61,1.0
62,1.0
63,0.61
64,0.68
65,0.11
66,0.1
67,0.9
68,0.9883333333333334
69,0.37
70,0.89
71,0.4221904761904762
72,0.64
73,0.0
74,0.41
75,0.32
76,0.35
77,0.65
78,0.76
79,0.98
80,0.97
81,0.95
82,0.95
83,0.5
84,0.5534523809523809
85,0.99
86,0.8165952380952382
87,0.815
88,0.99
89,1.0
90,0.63
91,0.0
92,1.0
93,0.31
94,0.79
95,0.86
96,0.685452380952381
97,0.68
98,0.03
99,0.83
100,0.96
101,0.4652857142857144
102,0.789452380952381
103,0.87
104,1.0
105,0.63
106,0.86
107,1.0
108,0.05
109,0.11
110,1.0
111,0.25
112,0.92
113,0.73
114,0.27
115,0.29
116,0.15
117,0.62
118,0.0
119,1.0
120,0.91
121,0.77
122,0.97
123,0.92
124,1.0
125,0.94
126,0.67
127,0.22
128,0.41
129,0.5261666666666668
130,0.95
131,0.7868333333333334
132,0.95
133,0.87
134,0.6155418470418471
135,0.0
136,0.99
137,0.95
138,0.91
139,0.42
140,0.09
141,0.40800000000000003
142,0.67
143,0.7385941558441556
144,0.0
145,0.73
146,1.0
147,0.6683333333333334
148,0.76
149,0.83
150,0.72
151,0.43916666666666665
152,0.67
153,0.95
154,0.89
155,0.71
156,0.58
157,0.85
158,0.0
159,1.0
160,0.15498809523809523
161,1.0
162,0.82
163,0.5222619047619047
164,0.5223333333333333
165,0.0
166,0.97
167,0.5176666666666667
168,1.0
169,0.78
170,0.9975
171,1.0
172,0.98
173,0.76
174,0.94
175,0.65
176,1.0
177,0.81
178,0.81
179,0.55
180,0.18
181,0.09
182,0.99
183,0.12
184,0.98
185,0.64
186,0.81
187,0.14176984126984127
188,0.0
189,0.43
190,0.03
191,0.82
192,0.7256428571428571
193,0.22
194,0.78
195,0.28833333333333333
196,1.0
197,0.7
198,0.94
199,1.0
200,0.16
201,0.24
202,0.86
203,0.12
204,0.08
205,0.0
206,0.99
207,0.99
208,0.65
209,0.0
210,0.97
211,0.9645833333333335
212,0.19
213,0.6498333333333332
214,0.22
215,0.27
216,0.99
217,0.08
218,0.16
219,1.0
220,0.16
221,0.85
222,0.52
223,0.98
224,0.43
225,0.74
226,0.59
227,1.0
228,0.96
229,0.87
230,0.23
231,0.86
232,0.63
233,0.9570079365079365
234,0.97
235,0.28
